date,consommation,temperature,precipitation,is_non_ouvre
2018-05-25,2265279.0,18.456666666666663,1.2699999999999998,0
2018-05-26,1997443.0,20.106666666666666,3.043333333333334,1
2018-05-27,1866612.0,19.88,2.686666666666667,1
2018-05-28,2202692.0,18.95333333333333,6.9,0
2018-05-29,2244658.0,18.480000000000004,3.9266666666666663,0
2018-05-30,2272382.0,18.466666666666665,4.72,0
2018-05-31,2271710.0,17.993333333333336,6.1400000000000015,0
2018-06-01,2242294.0,17.913333333333334,1.8966666666666667,0
2018-06-02,1977708.0,18.59,0.4666666666666665,1
2018-06-03,1847460.0,19.356666666666676,3.51,1
2018-06-04,2204382.0,18.863333333333337,6.676666666666666,0
2018-06-05,2260211.0,18.376666666666665,6.909999999999999,0
2018-06-06,2273465.0,18.28,4.816666666666666,0
2018-06-07,2259839.0,18.51666666666667,4.163333333333331,0
2018-06-08,2242030.0,19.503333333333327,1.9800000000000004,0
2018-06-09,1999666.0,20.113333333333333,4.153333333333333,1
2018-06-10,1874656.0,19.98,5.533333333333332,1
2018-06-11,2219041.0,18.750000000000004,13.863333333333332,0
2018-06-12,2245244.0,17.46666666666666,8.826666666666666,0
2018-06-13,2234529.0,16.41,3.3433333333333333,0
2018-06-14,2254950.0,16.696666666666665,0.9033333333333332,0
2018-06-15,2240723.0,17.589999999999996,1.813333333333333,0
2018-06-16,1982115.0,18.18,0.3833333333333333,1
2018-06-17,1844749.0,17.6,0.37,1
2018-06-18,2189598.0,18.430000000000003,0.4466666666666667,0
2018-06-19,2276113.0,19.92,0.06,0
2018-06-20,2320026.0,21.94,0.0766666666666666,0
2018-06-21,2298583.0,20.39,0.1066666666666666,0
2018-06-22,2219470.0,17.326666666666664,0.5233333333333333,0
2018-06-23,1964610.0,17.476666666666667,0.1199999999999999,1
2018-06-24,1851406.0,18.84666666666667,0.11,1
2018-06-25,2207814.0,19.68,0.01,0
2018-06-26,2289166.0,21.16333333333333,0.0066666666666666,0
2018-06-27,2307091.0,21.973333333333336,0.0066666666666666,0
2018-06-28,2308669.0,22.116666666666667,0.2666666666666666,0
2018-06-29,2302270.0,22.51,0.0466666666666666,0
2018-06-30,2085819.0,24.28333333333334,0.2466666666666666,1
2018-07-01,1956513.0,24.933333333333337,1.153333333333333,1
2018-07-02,2296087.0,23.42666666666667,3.4,0
2018-07-03,2366284.0,22.85,1.5066666666666668,0
2018-07-04,2363246.0,22.486666666666665,3.11,0
2018-07-05,2317005.0,20.600000000000005,5.4,0
2018-07-06,2289783.0,21.1,1.143333333333333,0
2018-07-07,2058485.0,22.946666666666665,0.0266666666666666,1
2018-07-08,1940435.0,23.543333333333337,0.0333333333333333,1
2018-07-09,2294132.0,23.13,0.0133333333333333,0
2018-07-10,2341420.0,21.636666666666667,0.18,0
2018-07-11,2318445.0,20.230000000000004,0.3,0
2018-07-12,2331258.0,20.746666666666677,0.15,0
2018-07-13,2325409.0,22.30333333333333,0.0733333333333333,0
2018-07-14,2027072.0,23.320000000000004,0.1433333333333333,1
2018-07-15,1927112.0,23.35333333333333,0.8166666666666664,1
2018-07-16,2242783.0,22.370000000000005,4.776666666666666,0
2018-07-17,2313421.0,22.029999999999998,0.2266666666666666,0
2018-07-18,2335368.0,22.363333333333333,0.3533333333333333,0
2018-07-19,2350084.0,23.273333333333333,1.2033333333333331,0
2018-07-20,2296332.0,21.60333333333333,4.126666666666667,0
2018-07-21,2010678.0,20.29666666666667,2.370000000000001,1
2018-07-22,1890298.0,21.209999999999997,0.3299999999999999,1
2018-07-23,2254017.0,23.120000000000008,0.0033333333333333,0
2018-07-24,2341616.0,24.12,0.1066666666666666,0
2018-07-25,2373790.0,24.97,0.0366666666666666,0
